PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE
P09258,Velachery,1764,9/2/2007,28,2,1,4,AdjLand,No,22-02-1954,Commercial,AllPub,No Access,RM,440633,279067,14687760
P06684,KK Nagar,1820,26-06-2009,84,3,2,5,Normal Sale,Yes,27-06-2004,House,AllPub,Paved,RL,388329,221902,11095100
P05396,Chrompet,987,4/3/2010,39,1,1,3,Normal Sale,Yes,5/3/2006,House,AllPub,Gravel,RM,340691,106466,10646600
P07340,T Nagar,1688,15-12-2008,171,1,1,4,Partial,Yes,17-12-2000,House,NoSewr ,No Access,RM,321820,141601,12872810
P07209,Anna Nagar,1908,21-01-2009,164,2,1,5,AdjLand,No,26-01-1989,House,AllPub,No Access,RH,339193,181711,12114050
P07150,Chrompet,1078,7/2/2009,54,1,1,3,AdjLand,Yes,17-02-1972,House,NoSeWa,Paved,RL,243057,140225,9348350
P02801,Karapakkam,1637,23-07-2011,100,2,2,4,AbNormal,Yes,3/8/1967,House,ELO,Paved,RM,432745,169335,9407500
P06936,Adyar,1019,14-04-2009,87,1,1,3,AbNormal,Yes,19-04-1988,House,NoSeWa,Paved,RH,322694,125492,8963715
P00573,Chrompet,1198,28-12-2013,7,1,1,3,Partial,Yes,5/1/1983,Commercial,ELO,No Access,RL,355402,92141,13163050
P04988,Chrompet,1002,22-05-2010,45,1,1,3,Normal Sale,Yes,28-05-1984,Commercial,NoSeWa,Gravel,RH,404950,88583,12654700
P01745,Karapakkam,1088,15-02-2012,176,1,1,3,Family,No,24-02-1974,Commercial,ELO,Gravel,I,279923,118755,8482500
P03455,Anna Nagar,1703,23-03-2011,101,1,1,4,Normal Sale,Yes,2/4/1971,Commercial,AllPub,Gravel,RM,650685,230888,20989850
P01212,Chrompet,946,21-10-2012,190,1,1,3,AbNormal,Yes,25-10-1996,House,NoSeWa,Paved,RH,231722,33103,8275800
P05818,Velachery,1983,17-12-2009,6,3,2,5,Partial,No,27-12-1969,Commercial,ELO,Paved,A,438606,186075,13291100
P05066,Karapakkam,1112,5/5/2010,190,1,1,3,AbNormal,No,17-05-1963,Commercial,NoSewr ,Paved,RM,407058,178709,9928250
P02291,Adyar,700,30-10-2011,134,1,1,2,Family,Yes,2/11/1996,House,NoSewr ,Paved,RH,273943,76095,7609525
P00114,Anna Nagar,1956,5/12/2014,133,2,1,5,Normal Sale,Yes,7/12/2007,Others,AllPub,No Access,RL,394631,182137,15178120
P07258,KK Nagar,1666,6/1/2009,175,2,1,4,AdjLand,No,13-01-1982,Others,NoSewr ,Paved,RL,353677,171786,10105060
P09876,Velachery,1959,21-12-2004,73,3,2,5,Partial,No,3/1/1956,House,AllPub,Paved,RM,388561,184055,10225280
P04051,Chrompet,1276,17-11-2010,92,2,1,4,Partial,Yes,21-11-1995,Others,NoSewr ,No Access,RL,340209,92784,10309370
P09289,Chrompet,1079,30-01-2007,171,1,1,3,Partial,Yes,3/2/1991,House,ELO,Paved,RH,211580,126948,8463200
P03026,KK Nagar,2357,12/6/2011,151,4,2,6,Partial,Yes,18-06-1985,Others,AllPub,Gravel,RH,399003,193066,12871060
P06043,Anna Nagar,1988,4/11/2009,134,2,1,5,Family,No,9/11/1990,Others,NoSewr ,Gravel,RL,472793,177297,14774770
P05810,Karapakkam,1257,18-12-2009,35,1,1,3,Partial,Yes,24-12-1986,Others,AllPub,Paved,RH,359574,155270,8172125
P09107,Velachery,1827,4/4/2007,182,3,2,5,AdjLand,No,11/4/1978,Commercial,ELO,Paved,RH,592747,296374,14818680
P05658,T Nagar,1661,17-01-2010,51,1,1,4,Normal Sale,Yes,21-01-1995,Commercial,NoSewr ,Paved,RM,777136,224960,20450950
P05299,Karapakkam,939,23-03-2010,35,1,1,3,Family,No,30-03-1982,Commercial,ELO,Paved,RM,338513,192129,9149000
P02450,Velachery,1607,2/10/2011,45,2,1,4,AdjLand,Yes,3/10/2004,Commercial,NoSeWa,No Access,A,374971,149988,12499040
P05577,KK Nagar,1829,1/2/2010,50,3,2,5,AdjLand,No,9/2/1980,Others,AllPub,Paved,RH,441738,226006,10272980
P07588,Chrompet,806,26-09-2008,11,1,1,3,Family,No,29-09-1996,House,NoSewr ,Gravel,RM,241819,86364,8636400
P02397,Chrompet,784,12/10/2011,162,1,1,2,AdjLand,No,18-10-1985,House,AllPub,Paved,RL,209997,44999,7499900
P09734,Velachery,1540,18-10-2005,36,2,1,4,Partial,Yes,23-10-1987,Commercial,AllPub,Gravel,A,480611,113829,12647660
P00141,Anna Nagar,1794,13-11-2014,62,1,1,4,AdjLand,No,16-11-2000,Commercial,NoSeWa,Paved,RM,729338,104191,20838230
P05230,KK Nagar,1875,6/4/2010,22,3,2,5,Partial,No,7/4/2004,House,AllPub,Paved,RH,279874,158595,9329120
P04567,KK Nagar,1494,8/8/2010,35,2,1,4,Partial,No,10/8/2002,House,NoSewr ,Gravel,RL,282731,82083,9120360
P06786,T Nagar,1921,25-05-2009,134,2,1,5,Family,Yes,1/6/1981,Commercial,NoSeWa,Paved,RH,694678,126305,21050860
P03967,Adyar,603,3/12/2010,188,1,1,2,Family,No,5/12/2001,House,NoSeWa,Gravel,I,197931,61853,6185335
P03081,KK Nagar,1479,30-05-2011,192,2,1,4,Partial,No,5/6/1984,Others,AllPub,Paved,RH,319235,134415,8400920
P04053,Anna Nagar,1574,17-11-2010,128,1,1,4,Partial,No,25-11-1978,House,NoSewr ,Gravel,RM,320110,189695,11855940
P09186,Chrompet,730,5/3/2007,4,1,1,2,AbNormal,Yes,9/3/1989,Others,ELO,Paved,RM,242260,89726,8972600
P05169,KK Nagar,2450,16-04-2010,197,4,2,6,Normal Sale,No,23-04-1980,House,NoSewr ,Gravel,RM,562797,137573,12506600
P06838,KK Nagar,1379,9/5/2009,83,2,1,4,AbNormal,No,14-05-1990,Others,NoSewr ,Gravel,RM,439020,122517,10209760
P07163,T Nagar,1621,3/2/2009,101,1,1,4,AbNormal,No,15-02-1964,Others,AllPub,Paved,RM,412785,167694,12899530
P05502,Karapakkam,617,12/2/2010,74,1,1,2,Partial,No,19-02-1984,Others,NoSeWa,No Access,A,118866,47051,2476375
P02014,Karapakkam,508,25-12-2011,115,1,1,2,Family,Yes,29-12-1995,House,NoSeWa,Gravel,I,249876,62469,5679000
P06298,Karapakkam,1485,17-09-2009,120,2,2,4,AbNormal,Yes,25-09-1977,House,ELO,No Access,RL,360923,104267,8020500
P04173,Karapakkam,804,22-10-2010,46,1,1,2,Normal Sale,No,24-10-2003,Commercial,NoSewr ,No Access,RM,293869,75566,8396250
P08552,Chrompet,917,10/11/2007,147,1,1,3,Partial,No,12/11/1999,House,ELO,No Access,RL,199097,78217,7110600
P02549,Anna Nagar,1729,13-09-2011,80,1,1,4,AdjLand,No,22-09-1974,Others,NoSewr ,Gravel,RM,382289,99112,14158860
P07189,Chrompet,1102,25-01-2009,89,1,1,3,Normal Sale,Yes,2/2/1980,Commercial,NoSeWa,Gravel,RM,449839,246686,14510950
P09800,Velachery,1826,18-06-2005,67,3,2,5,AdjLand,Yes,26-06-1974,Commercial,NoSewr ,Paved,RL,647223,215741,16595470
P06511,Velachery,1864,3/8/2009,46,3,2,5,Normal Sale,Yes,16-08-1958,Commercial,NoSewr ,Gravel,RH,636543,206876,15913570
P09936,Velachery,1776,19-08-2004,196,2,1,4,Partial,No,31-08-1956,Others,AllPub,Paved,RM,333552,177200,10423510
P04448,Chrompet,1091,29-08-2010,184,1,1,3,AbNormal,No,31-08-2002,Commercial,ELO,No Access,RM,317265,164978,12690600
P06861,Adyar,712,4/5/2009,118,1,1,2,Family,Yes,7/5/1998,Commercial,NoSewr ,Paved,RH,403057,137888,10606765
P00400,Chrompet,795,14-05-2014,16,1,1,2,Family,Yes,18-05-1997,Commercial,NoSewr ,Gravel,RM,406341,209327,12313350
P06876,Chrompet,922,30-04-2009,80,1,1,3,AdjLand,Yes,6/5/1987,Commercial,NoSewr ,Paved,RM,332248,53160,13289900
P05520,Karapakkam,1473,9/2/2010,80,2,2,4,Partial,Yes,12/2/2000,House,NoSewr ,Paved,RH,258912,100224,8352000
P05784,Karapakkam,1699,22-12-2009,10,2,2,4,Normal Sale,Yes,24-12-2000,Commercial,ELO,No Access,C,422679,102814,11423750
P02944,Chrompet,1026,25-06-2011,5,1,1,3,AdjLand,No,29-06-1992,Others,ELO,Gravel,RM,293482,80961,10120070
P08343,Anna Nagar,1570,7/2/2008,68,1,1,4,AbNormal,No,15-02-1975,Others,NoSeWa,No Access,RH,322143,96643,10738110
P07598,KK Nagar,1479,25-09-2008,199,2,1,4,Family,No,1/10/1986,House,AllPub,Gravel,RH,348321,186904,8495640
P03992,KK Nagar,2380,29-11-2010,20,4,2,6,Normal Sale,No,4/12/1988,Others,NoSewr ,Gravel,RH,518324,135751,12341040
P00005,Chrompet,704,16-02-2015,52,1,1,2,Partial,No,26-02-1976,House,AllPub,Gravel,RH,162460,81230,6248450
P06750,KK Nagar,1325,6/6/2009,139,1,1,3,Normal Sale,Yes,12/6/1984,House,NoSewr ,Paved,RH,322145,101730,8477500
P09888,Velachery,1558,5/12/2004,49,2,1,4,Family,No,19-12-1949,Commercial,AllPub,Paved,RH,452317,87950,12564350
P05990,Chrompet,1133,14-11-2009,64,1,1,3,Partial,Yes,15-11-2004,Others,AllPub,NoAccess,RH,307064,158184,9304960
P01925,KK Nagar,1866,14-01-2012,86,3,2,5,AdjLand,No,19-01-1991,House,AllPub,Gravel,RL,530289,227267,10822220
P03737,Adyar,936,20-01-2011,106,1,1,3,Normal Sale,Yes,26-01-1987,Others,ELO,Paved,RH,352492,108459,9038260
P07961,Velachery,1657,10/6/2008,187,2,1,4,Normal Sale,No,23-06-1958,Commercial,AllPub,No Access,A,401448,184449,10849950
P02140,Chrompet,904,2/12/2011,36,1,1,3,Family,No,5/12/1999,Others,AllPub,No Access,RM,236658,50712,8452080
P00010,Chrompet,924,13-02-2015,183,1,1,3,AdjLand,Yes,20-02-1985,Commercial,ELO,Gravel,RM,404553,229247,13485100
P07072,KK Nagar,2031,5/3/2009,74,3,2,5,AdjLand,Yes,9/3/1993,Others,NoSeWa,Paved,RH,498882,190050,11878140
P03421,Velachery,1945,30-03-2011,63,3,2,5,Family,Yes,3/4/1995,House,ELO,Gravel,RH,416553,153467,10961920
P00283,Chrompet,1297,28-07-2014,170,2,1,4,Family,No,7/8/1975,House,NoSewr ,Gravel,RM,282477,131150,10088450
P05261,KK Nagar,2179,30-03-2010,132,3,2,5,AbNormal,Yes,6/4/1981,Commercial,AllPub,Paved,RL,589346,357180,17858980
P01280,Chrompet,996,4/9/2012,191,1,1,3,Family,Yes,11/9/1984,House,ELO,Gravel,RL,264927,63948,9135400
P03614,Chrompet,969,16-02-2011,176,1,1,3,Family,No,26-02-1972,Others,NoSeWa,Paved,RM,285331,43232,8646380
P09768,Velachery,1506,28-08-2005,180,2,1,4,AdjLand,No,3/9/1982,Others,NoSewr ,Gravel,C,291588,85761,8576110
P01154,Chrompet,1095,25-11-2012,52,1,1,3,Partial,No,30-11-1993,House,AllPub,Gravel,RH,276119,108774,8367250
P02825,KK Nagar,1329,19-07-2011,44,1,1,3,AbNormal,Yes,23-07-1992,Others,AllPub,Paved,RL,492038,236178,9840760
P04522,Karapakkam,1130,14-08-2010,130,1,1,3,Partial,Yes,15-08-2005,Others,NoSewr ,Gravel,RH,253845,177692,8461500
P05489,Karapakkam,1299,15-02-2010,141,1,1,3,Normal Sale,No,24-02-1975,Commercial,AllPub,Paved,RL,458004,117164,10651250
P02321,Karapakkam,514,24-10-2011,79,1,1,2,AdjLand,No,2/11/1973,House,AllPub,No Access,C,111366,43309,3093500
P03117,KK Nagar,1738,24-05-2011,178,2,1,4,AdjLand,No,25-05-2006,House,AllPub,Gravel,RL,330042,159698,10646500
P00901,TNagar,1782,13-05-2013,168,1,1,4,Family,No,18-05-1993,House,NoSewr ,Gravel,RH,375257,181576,12105050
P04095,Karapakkam,749,9/11/2010,132,1,1,2,AbNormal,Yes,20-11-1964,House,NoSewr ,No Access,RH,218325,101175,5325000
P08127,Chrompet,1267,15-04-2008,5,2,1,4,Partial,Yes,21-04-1984,House,NoSewr ,No Access,RL,234915,65776,9396600
P01770,Karapakkam,694,10/2/2012,32,1,1,2,AdjLand,No,18-02-1977,Commercial,NoSeWa,Gravel,I,270514,97108,6936250
P07769,Adyar,1175,8/8/2008,69,1,1,3,Normal Sale,Yes,16-08-1979,Others,ELO,Paved,RL,418573,160990,10732635
P00472,Anna Nagar,1846,18-03-2014,62,2,1,5,AdjLand,No,28-03-1972,Commercial,NoSewr ,Paved,RL,769310,222695,20244990
P06784,KK Nagar,1428,26-05-2009,17,2,1,4,Family,Yes,28-05-2002,Commercial,NoSeWa,Paved,RH,648247,181509,12964940
P06600,Adyar,824,17-07-2009,46,1,1,3,Family,Yes,24-07-1980,Others,AllPub,Paved,I,267959,102455,7881135
P07051,Velachery,1637,9/3/2009,157,2,1,4,Family,Yes,19-03-1971,Commercial,NoSewr ,Gravel,C,511497,242288,13460460
P05476,KK Nagar,2189,18-02-2010,144,3,2,5,AdjLand,Yes,21-02-1998,Others,AllPub,Gravel,RL,510297,234461,13791820
P05987,Adyar,1128,15-11-2009,123,1,1,3,Partial,Yes,24-11-1975,House,AllPub,No Access,RM,328536,19326,9662810
P06340,Karapakkam,1213,10/9/2009,22,1,1,3,Normal Sale,No,18-09-1976,House,NoSeWa,Paved,RL,325158,117610,6918250
P09606,Velachery,1984,20-07-2006,138,3,2,5,AbNormal,Yes,29-07-1971,Commercial,NoSeWa,Gravel,C,486061,282229,15679400
P08363,Adyar,680,28-01-2008,126,1,1,2,AdjLand,Yes,2/2/1986,Commercial,ELO,Paved,A,257659,68709,8588630
P09991,Velachery,1508,1/5/2004,54,2,1,4,Partial,No,13-05-1957,House,ELO,Paved,I,206724,137816,6890790
P00225,Anna Nagar,2000,9/9/2014,102,2,1,5,Family,No,19-09-1972,Commercial,ELO,Paved,RL,690587,334830,20926890
P09068,Anna Nagar,1538,21-04-2007,187,1,1,4,Family,Yes,24-04-1994,Commercial,AllPub,Gravel,RM,698753,139751,19964360
P00463,T Nagar,1723,30-03-2014,19,1,1,4,AdjLand,Yes,8/4/1978,House,NoSewr ,No Access,RL,490038,226171,12565070
P08781,Chrompet,1161,22-08-2007,58,1,1,3,Family,Yes,30-08-1974,Others,ELO,Paved,RM,296434,127043,10586920
P09764,Velachery,1676,3/9/2005,34,2,1,4,Partial,Yes,10/9/1977,Others,AllPub,Gravel,A,299942,118159,9089160
P00092,T Nagar,1749,19-12-2014,4,1,1,4,Family,No,23-12-1997,House,NoSeWa,Paved,RH,454076,113519,11351890
P07349,KK Nagar,2199,13-12-2008,200,3,2,5,Partial,Yes,18-12-1990,House,NoSewr ,Gravel,RM,561509,204185,12761560
P01009,Chrompet,1101,2/3/2013,30,1,1,3,Family,No,12/3/1973,House,ELO,Gravel,RM,269472,62877,8982400
P09032,Adyar,1240,7/5/2007,5,2,2,4,Partial,Yes,9/5/1999,Others,NoSeWa,Paved,RH,404199,74458,10636820
P08562,Adyar,1266,7/11/2007,7,2,2,4,Family,No,16-11-1969,Others,NoSewr ,Gravel,A,300546,113720,8122870
P00419,Chrompet,1021,30-04-2014,159,1,1,3,AbNormal,Yes,2/5/2005,Others,NoSeWa,Paved,RH,298097,83840,9315520
P04239,Velachery,1713,8/10/2010,72,2,1,4,Normal Sale,Yes,17-10-1974,House,NoSewr ,Paved,A,292206,118462,7897470
P09599,Velachery,1563,8/8/2006,158,2,1,4,Partial,No,17-08-1970,House,AllPub,No Access,A,174011,101039,5613270
P07253,Chrompet,889,6/1/2009,133,1,1,3,Family,No,10/1/1994,Commercial,NoSeWa,Gravel,RM,400826,133609,12146250
P06627,Velachery,1925,11/7/2009,17,3,2,5,AdjLand,Yes,18-07-1982,Others,NoSewr ,Gravel,C,331656,176883,11055190
P05740,KK Nagar,1791,1/1/2010,107,3,2,5,AdjLand,No,7/1/1987,House,NoSewr ,Gravel,RL,438239,125211,10434260
P09482,Chrompet,910,18-11-2006,178,1,1,3,Normal Sale,Yes,24-11-1983,House,NoSeWa,Paved,RM,303146,45931,9186250
P03154,KK Nagar,2450,16-05-2011,78,4,2,6,Normal Sale,No,19-05-1999,House,NoSeWa,Gravel,RH,360785,232765,11638240
P03878,KK Nagar,1763,24-12-2010,155,2,1,4,Family,Yes,31-12-1983,Others,AllPub,Paved,RH,353206,83107,10388400
P01507,Chrompet,1170,28-03-2012,5,1,1,3,AbNormal,No,7/4/1974,Commercial,AllPub,Paved,RH,385904,186728,12448500
P04170,Adyar,1294,23-10-2010,26,2,2,4,Partial,Yes,28-10-1990,House,NoSeWa,Gravel,RH,311499,155750,10383300
P03417,KK Nagar,1386,31-03-2011,101,2,1,4,Partial,Yes,1/4/2006,Commercial,NoSeWa,Paved,RM,496825,262213,13800700
P05231,Karapakkam,1506,5/4/2010,156,2,2,4,AdjLand,Yes,14-04-1975,House,ELO,No Access,C,264460,161256,6450250
P02862,Anna Nagar,1830,10/7/2011,33,2,1,5,AbNormal,No,20-07-1968,Commercial,NoSeWa,Gravel,RM,769130,270235,20787310
P00776,Chrompet,744,1/8/2013,112,1,1,2,AbNormal,Yes,8/8/1985,House,ELO,No Access,RH,174992,32406,6481200
P00305,Chrompet,1298,13-07-2014,75,2,1,4,Partial,Yes,14-07-2010,House,NoSeWa,No Access,RL,291582,116633,9719400
P00751,Anna Nagar,1615,19-08-2013,181,1,1,4,AbNormal,No,27-08-1983,House,ELO,No Access,RH,295379,157535,9845950
P03091,KK Nagar,1964,29-05-2011,35,3,2,5,Family,No,2/6/1992,House,NoSewr ,Paved,RL,383214,211776,10084580
P01272,Chrompet,812,12/9/2012,21,1,1,3,Normal Sale,No,15-09-2002,House,AllPub,No Access,RL,224009,86713,7226100
P03694,Adyar,1270,30-01-2011,70,2,2,4,AdjLand,Yes,2/2/2000,Commercial,NoSewr ,Paved,C,480796,160265,14569565
P01753,Karapakkam,1045,13-02-2012,59,1,1,3,Normal Sale,No,21-02-1977,House,NoSeWa,No Access,A,128691,53621,3574750
P07454,Chrompet,1093,4/11/2008,51,1,1,3,AbNormal,No,7/11/1996,House,NoSewr ,No Access,RM,271262,61253,8750400
P07901,Chrompet,934,30-06-2008,29,1,1,3,Family,No,4/7/1994,Others,NoSewr ,No Access,RH,193095,57213,7151680
P02177,Velachery,1617,23-11-2011,171,2,1,4,Family,No,3/12/1969,House,NoSewr ,No Access,RM,324098,76760,8528890
P05995,Velachery,1994,13-11-2009,87,3,2,5,Normal Sale,No,20-11-1980,House,NoSeWa,No Access,I,309945,92146,8376880
P10012,Velachery,1759,18-03-2004,8,2,1,4,AdjLand,Yes,26-03-1975,House,NoSewr ,Gravel,RM,443217,83852,11978830
P05821,KK Nagar,1968,17-12-2009,126,3,2,5,AbNormal,Yes,20-12-1998,Others,NoSeWa,Gravel,RM,652659,208851,13053180
P03762,Karapakkam,785,14-01-2011,103,1,1,2,Family,No,22-01-1979,Others,NoSeWa,No Access,I,194903,62203,4146875
P03670,Velachery,1956,3/2/2011,11,3,2,5,AbNormal,No,7/2/1994,Others,NoSewr ,Paved,C,353953,133928,9566290
P05190,Karapakkam,1042,12/4/2010,27,1,1,3,Family,No,13-04-2005,Others,NoSeWa,Gravel,C,281930,143964,5998500
P07762,Anna Nagar,1566,10/8/2008,21,1,1,4,Family,No,17-08-1982,Others,NoSewr ,No Access,RL,309693,114701,11470100
P07891,KK Nagar,1380,2/7/2008,167,2,1,4,Family,No,9/7/1980,Commercial,AllPub,Gravel,RH,519292,193225,12076560
P01511,Karapakkam,1047,27-03-2012,52,1,1,3,AbNormal,Yes,9/4/1962,House,AllPub,Gravel,I,332906,74734,6794000
P01363,Chrompet,975,7/7/2012,80,1,1,3,Family,No,10/7/2001,House,NoSewr ,Paved,RL,201871,129198,8074850
P05250,Chrompet,1036,2/4/2010,152,1,1,3,Normal Sale,No,6/4/1993,House,NoSewr ,No Access,RM,224466,33254,8313550
P04159,Anna Nagar,1960,25-10-2010,56,2,1,5,Partial,No,3/11/1974,Others,NoSewr ,Paved,RH,506073,77857,12976220
P02008,KK Nagar,2438,28-12-2011,153,4,2,6,Normal Sale,No,29-12-2006,House,NoSewr ,Paved,RL,368017,106844,11871500
P09033,T Nagar,1752,7/5/2007,163,1,1,4,Normal Sale,No,13-05-1983,Others,NoSewr ,No Access,RH,419552,119872,11987190
P01285,Chrompet,1272,30-08-2012,192,2,1,4,AbNormal,No,6/9/1986,Others,ELO,Paved,RH,281019,27195,9065140
P09422,Adyr,784,14-12-2006,17,1,1,2,AdjLand,No,20-12-1983,House,NoSewr ,Gravel,RM,352718,90440,9044045
P02977,KK Nagar,2461,20-06-2011,184,4,2,6,Partial,No,27-06-1983,Others,NoSewr ,Gravel,RL,444954,152556,12712980
P05870,Chrompet,911,7/12/2009,98,1,1,3,Partial,No,14-12-1981,Commercial,AllPub,Paved,RM,299198,34523,11507600
P06982,KK Nagar,2330,1/4/2009,1,4,2,6,Normal Sale,Yes,5/4/1993,Commercial,NoSeWa,Gravel,RM,612818,158147,19768320
P09379,Velachery,1673,29-12-2006,86,2,1,4,AdjLand,No,9/1/1962,House,ELO,No Access,RL,288431,127249,8483250
P05466,Chrompet,1171,19-02-2010,10,1,1,3,AdjLand,No,21-02-2003,Commercial,AllPub,No Access,RM,449122,238596,14035050
P09802,Velachery,1966,13-06-2005,60,3,2,5,AbNormal,No,15-06-1999,House,NoSeWa,Gravel,C,317668,140148,9343170
P04583,Karapakkam,850,5/8/2010,125,1,1,2,Family,Yes,17-08-1963,Commercial,AllPub,Gravel,A,323806,84471,7039250
P06789,Anna Nagar,1622,23-05-2009,37,1,1,4,Normal Sale,No,29-05-1985,House,NoSewr ,Gravel,RH,305338,124397,11308830
P09740,Velachery,1938,8/10/2005,5,3,2,5,AdjLand,No,17-10-1971,House,AllPub,Gravel,RM,369739,231087,11554330
P08503,Anna Nagar,1867,6/12/2007,138,2,1,5,Family,Yes,12/12/1983,House,NoSewr ,Paved,RL,337695,108062,13507780
P03947,Adyar,791,7/12/2010,72,1,1,2,AdjLand,Yes,11/12/1994,Others,NoSeWa,No Access,A,242708,25548,6387040
P08482,Anna Nagar,1958,16-12-2007,82,2,1,5,Family,No,21-12-1985,Commercial,NoSewr ,No Access,RH,594051,118810,19801690
P07603,Anna Nagar,1601,24-09-2008,108,1,1,4,AbNormal,No,4/10/1970,Others,NoSewr ,Gravel,RL,505862,113819,12646540
P06374,Karapakkam,1617,3/9/2009,160,2,2,4,AdjLand,Yes,12/9/1974,Commercial,NoSeWa,Gravel,RM,521505,289725,14486250
P00831,Chrompet,1015,25-06-2013,105,1,1,3,Normal Sale,No,4/7/1976,Commercial,NoSeWa,Paved,RL,362010,58389,11677750
P01646,T Nagar,1572,4/3/2012,111,1,1,4,Partial,Yes,12/3/1983,House,ELO,Gravel,RL,319140,208669,12274630
P09147,T Nagar,1924,19-03-2007,139,2,1,5,Family,No,27-03-1975,Others,AllPub,Paved,RL,372072,179146,13780460
P00891,T Nagar,1848,21-05-2013,33,2,1,5,AdjLand,No,25-05-1997,Others,ELO,Paved,RM,502253,221582,14772160
P01111,Chrompet,1238,16-12-2012,34,2,1,4,Partial,Yes,18-12-2007,House,NoSeWa,Gravel,RH,322053,171091,10064150
P00450,T Nagar,1556,5/4/2014,188,1,1,4,Normal Sale,Yes,11/4/1988,House,NoSeWa,No Access,RM,415316,232088,12215170
P01840,Anna Nagar,1543,30-01-2012,97,1,1,4,Normal Sale,Yes,2/2/1999,Commercial,NoSeWa,No Access,RL,578573,235045,18080410
P00093,Anna Nagar,1534,17-12-2014,7,1,1,4,AbNormal,No,23-12-1988,Commercial,NoSeWa,Paved,RL,692463,155804,17311570
P06381,KK Nagar,1635,2/9/2009,46,2,1,4,Partial,No,5/9/1998,House,NoSeWa,Paved,RL,293971,169256,8908220
P02596,KK Nagar,1450,5/9/2011,120,2,1,4,Family,Yes,7/9/2000,Others,NoSeWa,Gravel,RL,477595,244104,10613220
P05834,Chrompet,1117,13-12-2009,152,1,1,3,Family,No,22-12-1972,Others,AllPub,Paved,RH,223631,91109,8282640
P01699,Chrompet,953,24-02-2012,18,1,1,3,Partial,Yes,1/3/1991,House,NoSeWa,No Access,RL,249555,96602,8050150
P07461,Chrompet,742,3/11/2008,7,1,1,2,Family,Yes,7/11/1994,House,NoSeWa,No Access,RL,238070,126475,7439700
P03911,Karapakkam,820,16-12-2010,63,1,1,2,Family,Yes,17-12-2005,House,ELO,No Access,I,250045,76101,5435750
P06117,Anna Nagar,1895,20-10-2009,194,2,1,5,Family,Yes,28-10-1978,House,NoSeWa,Gravel,RL,344261,68852,13770420
P07100,Anna Nagar,1717,26-02-2009,199,1,1,4,Family,Yes,6/3/1979,Commercial,NoSeWa,Paved,RM,731893,203304,20330350
P02382,Chrompet,790,15-10-2011,166,1,1,2,AdjLand,Yes,23-10-1977,Others,NoSewr ,Gravel,RH,268584,86640,8664000
P07570,Velachery,1885,29-09-2008,156,3,2,5,AdjLand,Yes,13-10-1953,Commercial,NoSeWa,Paved,RL,590782,164106,16410600
P01658,Velachery,1749,1/3/2012,181,2,1,4,Normal Sale,Yes,4/3/2003,Others,AllPub,Paved,RM,421703,111627,12403030
P05098,Karapakkam,734,1/5/2010,151,1,1,2,AdjLand,No,6/5/1991,House,NoSeWa,Gravel,RL,268090,100534,6702250
P02464,Karapakkam,1624,29-09-2011,3,2,2,4,Normal Sale,No,4/10/1988,House,NoSewr ,No Access,A,231480,43066,5383250
P06978,Adyar,953,1/4/2009,63,1,1,3,Partial,Yes,7/4/1986,Others,NoSeWa,Paved,I,329346,16467,8233645
P07540,Chrompet,967,10/10/2008,158,1,1,3,Partial,Yes,19-10-1974,Others,ELO,Paved,RH,239229,41246,8249290
P07507,Chrompet,961,19-10-2008,15,1,1,3,AdjLand,No,24-10-1989,House,NoSeWa,Gravel,RL,218006,148244,8720250
P04572,Karapakkam,1034,6/8/2010,73,1,1,3,AbNormal,Yes,13-08-1983,Others,NoSeWa,No Access,I,256914,48936,6117000
P09020,Velachery,1940,11/5/2007,89,3,2,5,Family,No,13-05-1998,House,ELO,Pavd,RM,355462,172345,10771580
P04050,Chrompet,753,17-11-2010,150,1,1,2,Family,No,26-11-1972,Commercial,ELO,Gravel,RH,250152,111179,9264900
P05790,Karapakkam,755,21-12-2009,76,1,1,2,AdjLand,No,28-12-1981,Commercial,NoSeWa,Paved,I,230826,135780,6789000
P09268,Anna Nagar,1971,7/2/2007,72,2,1,5,AdjLand,No,17-02-1966,Commercial,ELO,No Access,RM,786861,170132,21266520
P00895,Chrompet,1026,16-05-2013,29,1,1,3,AdjLand,Yes,24-05-1981,Commercial,AllPub,Paved,RH,319970,63994,12798800
P04402,Karapakkam,1375,8/9/2010,151,2,2,4,AbNormal,No,14-09-1984,Others,NoSeWa,Paved,A,242676,135447,5643625
P03279,Karapakkam,728,20-04-2011,97,1,1,2,AdjLand,No,28-04-1978,House,NoSeWa,No Access,A,135229,64675,2939750
P00286,Anna Nagar,1807,26-07-2014,70,2,1,5,AdjLand,No,1/8/1988,Others,ELO,No Access,RL,468129,156043,13003580
P03925,Karapakkam,1333,12/12/2010,31,2,2,4,Partial,No,13-12-2004,Commercial,NoSeWa,No Access,RH,359585,174933,9718500
P00965,Chrompet,1093,2/4/2013,142,1,1,3,AbNormal,Yes,8/4/1988,House,AllPub,Paved,RL,265752,104403,9491150
